#Radial velocities from SM21

#Spec list
#0 - HARPS (SERVAL)
#1 - CARMENES (SERVAL)
#2 - STELLA  (CCF)
#3 HERMES (CCF)

#BJD           RV           sigRV       spec
8899.41495327 18.84370330 90.00347216 2.00000000
8900.40115623 157.07944744 85.05072016 2.00000000
8901.39800000 26.50000000 172.00000000 2.00000000
8901.49200000 -182.50000000 139.00000000 2.00000000
8902.31402000 -75.28232003 11.14446837 1.00000000
8902.34867000 -103.77841574 16.66019562 0.00000000
8902.38864000 -107.52645366 15.63871104 0.00000000
8903.32036000 -6.76968939 10.84693287 1.00000000
8904.31097000 27.26082089 11.27025135 1.00000000
8905.34651000 -90.30457295 16.37982804 0.00000000
8905.40109000 -62.53317230 13.70830880 0.00000000
8906.35774000 -121.23836760 7.89740605 0.00000000
8906.37000000 -102.50000000 104.00000000 2.00000000
8907.30541000 -149.49229297 11.59289851 1.00000000
8907.36000000 -415.50000000 144.00000000 2.00000000
8907.39742000 -463.41392276 5.80308422 0.00000000
8908.32472000 0.00000000 13.04268194 1.00000000
8910.36500000 -457.50000000 114.00000000 2.00000000
8911.36500000 116.50000000 97.00000000 2.00000000
8911.43455800 128.72749600 43.08937000 3.00000000
8911.45900000 402.50000000 155.00000000 2.00000000
8912.36375900 -75.91669000 35.56135200 3.00000000
8912.36600000 -77.50000000 157.00000000 2.00000000
8912.41020336 -29.85309728 84.64410385 3.00000000
8912.46400000 219.50000000 193.00000000 2.00000000
8913.31893000 -396.52921645 16.95847253 1.00000000
8914.33614000 212.70216048 6.65003207 0.00000000
8914.36700000 170.50000000 114.00000000 2.00000000
8914.37062100 208.89829800 40.91605800 3.00000000
8914.41263074 311.59608477 37.10051085 3.00000000
8914.46100000 360.50000000 151.00000000 2.00000000
8915.33667000 90.93936369 7.83151933 0.00000000
8915.36294000 148.30281700 36.42280900 3.00000000
8915.36600000 120.50000000 157.00000000 2.00000000
8915.46100000 117.50000000 275.00000000 2.00000000
8916.33819000 -502.60900181 13.13063857 0.00000000
8916.36700000 -539.50000000 150.00000000 2.00000000
8916.37980900 -692.93576100 46.42383500 3.00000000
8917.37962600 245.77891600 49.94314400 3.00000000
8918.31973000 43.08982208 24.16924996 1.00000000
8918.37700000 215.50000000 122.00000000 2.00000000
8919.33828000 -459.60258988 18.59570639 1.00000000
8919.46500000 -655.50000000 269.00000000 2.00000000
8920.36607000 380.70701916 7.94417038 0.00000000
8921.30584000 117.84738876 13.83692693 1.00000000
8921.36865000 211.70036088 9.85969024 0.00000000
8921.36900000 179.50000000 202.00000000 2.00000000
8923.36900000 288.50000000 100.00000000 2.00000000
8923.37064000 286.82342376 9.21403427 0.00000000
8923.38034000 156.30944797 13.28435440 1.00000000
8924.34606000 125.91960565 7.64694357 0.00000000
8926.37000000 -76.50000000 121.00000000 2.00000000
8929.37100000 -171.50000000 89.00000000 2.00000000
8930.37200000 -70.50000000 186.00000000 2.00000000
8937.37400000 -232.50000000 113.00000000 2.00000000
8938.37400000 -135.50000000 137.00000000 2.00000000
